"Ticker","Nome","Negócios","Última (R$)","Variação"
"SMTO3","São Martinho","2.537.300","27,98","+0,76%"
"AZEV4","Azevedo & Travassos","2.501.800","1,41","-2,08%"
"ARZZ3","Arezzo","2.457.100","51,49","+1,68%"
"ONCO3","Oncoclínicas","2.452.000","6,95","+2,66%"
"ENAT3","Enauta","2.297.900","26,60","+0,83%"
"SBFG3","Grupo SBF","2.226.400","11,66","+1,57%"
"DIRR3","Direcional","2.159.200","22,27","-1,11%"
"CURY3","Cury","2.147.700","18,67","-0,69%"
"VIVT3","Vivo","2.146.600","48,71","-0,04%"
"CXSE3","Caixa Seguridade","2.144.500","15,55","+0,58%"
"MOVI3","Movida","2.092.100","7,51","+1,21%"
"PSSA3","Porto Seguro","2.065.600","29,62","-0,03%"
"CLSA3","ClearSale","2.039.900","7,76","-2,76%"
"BRKM5","Braskem","1.930.300","22,30","-0,49%"
"ODPV3","Odontoprev","1.877.300","10,85","+0,18%"
"SRNA3","SRNA3","1.633.100","8,84","+2,20%"
"MILS3","Mills","1.612.600","13,22","+1,38%"
"VIVA3","Vivara","1.572.400","22,16","+0,91%"
"GGPS3","GPS","1.517.300","18,72","+0,92%"
"SOJA3","Boa Safra Sementes","1.407.800","16,95","+2,05%"
"INTB3","Intelbras","1.324.900","18,63","+0,98%"
"POSI3","Positivo","1.323.700","9,66","+0,52%"
"SAPR4","Sanepar","1.298.400","5,12","+2,40%"
"OPCT3","OceanPact","1.285.500","6,28","+2,95%"
"GFSA3","Gafisa","1.262.900","5,77","-0,86%"
"RCSL4","Recrusul","1.250.800","0,50","+0,00%"
"BRSR6","Banrisul","1.247.500","12,40","+0,49%"
"MATD3","Mater Dei","1.209.400","5,69","+2,89%"
"KEPL3","Kepler Weber","1.125.400","10,01","+2,35%"
"GRND3","Grendene","1.120.600","6,00","+1,18%"
"TTEN3","3tentos","1.115.600","9,75","-0,31%"
"ZAMP3","Zamp","1.109.100","3,51","+8,67%"
"MYPK3","Iochpe-Maxion","1.087.500","12,42","-2,05%"
"AMBP3","Ambipar","1.083.500","10,62","+2,02%"
"MTRE3","Mitre Realty","1.074.500","4,54","+3,42%"
"MDNE3","Moura Dubeux","1.056.100","12,27","+2,85%"
"RCSL3","Recrusul","1.033.600","1,53","+6,99%"
"ELET6","Eletrobras","1.007.200","42,73","+0,23%"
"JALL3","Jalles Machado","996.300","7,18","+0,56%"
"ESPA3","Espaçolaser","970.800","0,90","+0,00%"
"ARML3","Armac","938.900","10,42","+0,29%"
"PGMN3","Pague Menos","931.600","2,67","+6,37%"
"IRBR3","IRB Brasil RE","928.800","39,65","+0,18%"
"BRIT3","Brisanet","923.600","4,23","-0,24%"
"AERI3","Aeris Energy","912.200","0,57","+3,64%"
"RANI3","Irani","892.900","9,30","+2,54%"
"FESA4","Ferbasa","884.000","8,28","+2,22%"
